Department,EducationField,JobRole,BusinessTravel,MaritalStatus,Employee Source,HourlyRate,DailyRate,MonthlyRate,MonthlyIncome,StockOptionLevel,Age,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Education,JobLevel,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,TrainingTimesLastYear,Gender,DistanceFromHome,Company Website,LoyaltyFactor,TotalEarnInCompany,JobMatchFactor,SatisfactionCounts,Attrition
Research & Development,Medical,Healthcare Representative,Travel_Rarely,Single,Seek,96,1062,17198,6812,0,31,10,10,9,1,8,3,2,1,0,19,3,3,1,2,3,2,2,1,24,0,1,899184,0,9,0
Research & Development,Technical Degree,Healthcare Representative,Travel_Rarely,Single,Seek,96,1062,17198,6812,0,31,10,10,9,1,8,3,2,0,0,19,3,3,1,2,3,2,2,1,24,0,1,899184,1,9,0
Research & Development,Medical,Healthcare Representative,Travel_Rarely,Single,Seek,96,1062,17198,6812,0,31,10,10,9,1,8,3,2,1,0,19,3,3,1,2,3,2,2,1,24,0,1,899184,0,9,0
Research & Development,Medical,Healthcare Representative,Travel_Rarely,Single,Seek,77,1476,17198,6812,0,28,10,10,9,1,8,2,2,1,0,19,4,3,1,2,3,2,2,1,16,0,1,899184,0,9,0
Research & Development,Medical,Healthcare Representative,Travel_Rarely,Single,Seek,77,1476,17198,6812,0,28,10,10,9,1,8,2,2,0,0,19,3,3,1,2,3,2,2,1,16,0,1,899184,0,9,0
Research & Development,Technical Degree,Healthcare Representative,Travel_Rarely,Single,Seek,96,1062,17198,6812,0,31,10,10,9,1,8,3,2,0,0,19,4,3,1,2,3,2,2,1,24,0,1,899184,1,9,0
Research & Development,Medical,Healthcare Representative,Travel_Rarely,Single,Seek,77,1476,17198,6812,0,28,10,10,9,1,8,2,2,1,0,19,3,3,1,2,3,2,2,1,16,0,1,899184,0,9,0
Research & Development,Medical,Healthcare Representative,Travel_Rarely,Single,Jora,77,1476,17198,6812,0,28,10,10,9,1,8,2,2,0,0,19,3,3,1,2,3,2,2,1,16,0,1,899184,0,9,0
Research & Development,Medical,Healthcare Representative,Travel_Rarely,Single,Seek,96,1062,17198,6812,0,31,10,10,9,1,8,3,2,1,0,19,3,3,1,2,3,2,2,1,24,0,1,899184,0,9,0
Research & Development,Technical Degree,Healthcare Representative,Travel_Rarely,Single,Seek,96,1062,17198,6812,0,31,10,10,9,1,8,3,2,0,0,19,3,3,1,2,3,2,2,1,24,0,1,899184,1,9,0
Sales,Life Sciences,Sales Executive,Travel_Rarely,Single,Jora,48,326,16490,5171,0,59,13,6,1,0,5,3,2,5,0,17,3,3,4,4,3,2,2,1,3,0,0.4615,434364,1,14,0
Research & Development,Medical,Sales Executive,Travel_Rarely,Single,Jora,77,1132,16490,5171,0,39,13,6,1,0,5,3,2,5,0,17,3,3,4,4,3,2,2,1,1,0,0.4615,434364,1,14,0
Research & Development,Life Sciences,Sales Executive,Travel_Rarely,Single,Jora,77,1132,16490,5171,0,39,13,6,1,0,5,3,2,4,0,17,3,3,4,4,3,2,2,1,1,0,0.4615,434364,1,14,0
Sales,Life Sciences,Sales Executive,Travel_Rarely,Single,Jora,48,326,16490,5171,0,59,13,6,1,0,5,3,2,4,0,17,3,3,4,4,3,2,2,1,3,0,0.4615,434364,1,14,0
Research & Development,Medical,Sales Executive,Travel_Rarely,Single,Jora,77,1132,16490,5171,0,39,13,6,1,0,5,3,2,5,0,17,3,3,4,4,3,2,2,1,1,0,0.4615,434364,1,14,0
Research & Development,Life Sciences,Sales Executive,Travel_Rarely,Single,Jora,77,1132,16490,5171,0,39,13,6,1,0,5,3,2,4,0,17,3,3,4,4,3,2,2,1,1,0,0.4615,434364,1,14,0
Sales,Life Sciences,Sales Executive,Travel_Rarely,Single,Jora,48,326,16490,5171,0,59,13,6,1,0,5,3,2,5,0,17,3,3,4,4,3,2,2,1,3,0,0.4615,434364,1,14,0
Sales,Life Sciences,Sales Executive,Travel_Rarely,Single,Jora,48,326,16490,5171,0,59,19,1,0,0,0,3,2,4,0,17,3,3,4,4,3,2,3,1,3,0,0.0526,124104,1,14,0
Sales,Life Sciences,Sales Executive,Travel_Rarely,Single,Jora,48,326,16490,5171,0,59,13,6,1,0,5,3,2,5,0,17,3,3,4,4,3,2,2,1,3,0,0.4615,434364,1,14,0
Research & Development,Medical,Sales Executive,Travel_Rarely,Single,Jora,77,1132,16490,5171,0,39,13,6,1,0,5,3,2,5,0,17,3,3,4,4,3,2,2,1,1,0,0.4615,434364,1,14,0
Research & Development,Life Sciences,Sales Executive,Travel_Rarely,Single,Jora,77,1132,16490,5171,0,39,13,6,1,0,5,3,2,4,0,17,3,3,4,4,3,2,2,1,1,0,0.4615,434364,1,14,0
Sales,Life Sciences,Sales Executive,Travel_Rarely,Single,Jora,48,326,16490,5171,0,59,13,6,1,0,5,3,2,4,0,17,3,3,4,4,3,2,2,1,3,0,0.4615,434364,1,14,0
Research & Development,Medical,Sales Executive,Travel_Rarely,Single,Jora,77,1132,16490,5171,0,39,13,6,1,0,5,3,2,5,0,17,3,3,4,4,3,2,2,1,1,0,0.4615,434364,1,14,0
Research & Development,Life Sciences,Sales Executive,Travel_Rarely,Single,Jora,77,1132,16490,5171,0,39,13,6,1,0,5,3,2,4,0,17,3,3,4,4,3,2,2,1,1,0,0.4615,434364,1,14,0
Sales,Life Sciences,Sales Executive,Travel_Rarely,Single,Jora,48,326,16490,5171,0,59,13,6,1,0,5,3,2,5,0,17,3,3,4,4,3,2,2,1,3,0,0.4615,434364,1,14,0
Sales,Life Sciences,Sales Executive,Travel_Rarely,Single,Jora,48,326,16490,5171,0,59,19,1,0,0,0,3,2,4,0,17,3,3,4,4,3,2,3,1,3,0,0.0526,124104,1,14,0
Research & Development,Life Sciences,Research Director,Travel_Rarely,Married,Company Website,96,920,18625,19740,1,43,25,8,7,0,7,3,5,3,0,14,3,3,4,2,3,1,2,0,3,1,0.32,2238516,1,12,0
Research & Development,Medical,Research Director,Travel_Rarely,Married,Company Website,77,117,18625,19740,1,39,25,8,7,0,7,1,5,3,0,14,3,3,4,2,3,1,2,0,10,1,0.32,2238516,0,12,0
Research & Development,Life Sciences,Research Director,Travel_Rarely,Married,Company Website,96,920,18625,19740,1,43,25,8,7,0,7,3,5,2,0,14,3,3,4,2,3,1,2,0,3,1,0.32,2238516,1,12,0
Research & Development,Medical,Research Director,Travel_Rarely,Married,Company Website,77,117,18625,19740,1,39,25,8,7,0,7,1,5,2,0,14,4,3,4,2,3,1,2,0,10,1,0.32,2238516,0,12,0
Research & Development,Medical,Research Director,Travel_Rarely,Married,Company Website,77,117,18625,19740,1,39,25,8,7,0,7,1,5,3,0,14,3,3,4,2,3,1,2,0,10,1,0.32,2238516,0,12,0
Research & Development,Medical,Research Director,Travel_Rarely,Married,Company Website,77,117,18625,19740,1,39,25,8,7,0,7,1,5,2,0,14,3,3,4,2,3,1,2,0,10,1,0.32,2238516,0,12,0
Research & Development,Life Sciences,Research Director,Travel_Rarely,Married,Company Website,96,920,18625,19740,1,43,25,8,7,0,7,3,5,3,0,14,3,3,4,2,3,1,2,0,3,1,0.32,2238516,1,12,0
Research & Development,Life Sciences,Research Director,Travel_Rarely,Married,Company Website,96,920,18625,19740,1,43,25,8,7,0,7,3,5,2,0,14,3,3,4,2,3,1,2,0,3,1,0.32,2238516,1,12,0
Research & Development,Life Sciences,Research Director,Travel_Rarely,Married,Company Website,96,920,18625,19740,1,43,25,8,7,0,7,3,5,3,0,14,3,3,4,2,3,1,2,0,3,1,0.32,2238516,1,12,0
Research & Development,Medical,Research Director,Travel_Rarely,Married,Company Website,77,117,18625,19740,1,39,25,8,7,0,7,1,5,3,0,14,3,3,4,2,3,1,2,0,10,1,0.32,2238516,0,12,0
Research & Development,Life Sciences,Research Director,Travel_Rarely,Married,Company Website,96,920,18625,19740,1,43,25,8,7,0,7,3,5,2,0,14,3,3,4,2,3,1,2,0,3,1,0.32,2238516,1,12,0
Research & Development,Medical,Research Director,Travel_Rarely,Married,Company Website,77,117,18625,19740,1,39,25,8,7,0,7,1,5,2,0,14,4,3,4,2,3,1,2,0,10,1,0.32,2238516,0,12,0
Research & Development,Medical,Research Director,Travel_Rarely,Married,Company Website,77,117,18625,19740,1,39,25,8,7,0,7,1,5,3,0,14,3,3,4,2,3,1,2,0,10,1,0.32,2238516,0,12,0
Research & Development,Medical,Research Director,Travel_Rarely,Married,Company Website,77,117,18625,19740,1,39,25,8,7,0,7,1,5,2,0,14,3,3,4,2,3,1,2,0,10,1,0.32,2238516,0,12,0
Research & Development,Life Sciences,Research Director,Travel_Rarely,Married,Company Website,96,920,18625,19740,1,43,25,8,7,0,7,3,5,3,0,14,3,3,4,2,3,1,2,0,3,1,0.32,2238516,1,12,0
Research & Development,Life Sciences,Research Director,Travel_Rarely,Married,Company Website,96,920,18625,19740,1,43,25,8,7,0,7,3,5,2,0,14,3,3,4,2,3,1,2,0,3,1,0.32,2238516,1,12,0
Research & Development,Medical,Manager,Travel_Rarely,Married,Company Website,85,1098,12124,18711,1,49,23,1,0,0,0,2,5,2,0,13,3,1,3,3,4,2,2,0,4,1,0.0435,471517,0,11,0
Research & Development,Medical,Manager,Travel_Rarely,Married,Company Website,77,723,12124,18711,1,52,23,1,0,0,0,4,5,2,0,13,3,3,3,3,4,2,2,0,8,1,0.0435,471517,0,13,1
Research & Development,Life Sciences,Manager,Travel_Rarely,Married,Company Website,85,1098,12124,18711,1,49,23,1,0,0,0,2,5,1,0,13,3,1,3,3,4,2,2,0,4,1,0.0435,471517,0,11,0
Research & Development,Medical,Manager,Travel_Rarely,Married,Company Website,77,723,12124,18711,1,52,23,1,0,0,0,4,5,1,0,13,4,3,3,3,4,2,2,0,8,1,0.0435,471517,0,13,1
Research & Development,Medical,Manager,Travel_Rarely,Married,Company Website,85,1098,12124,18711,1,49,23,1,0,0,0,2,5,2,0,13,3,1,3,3,4,2,2,0,4,1,0.0435,471517,0,11,0
Research & Development,Life Sciences,Manager,Travel_Rarely,Married,Company Website,85,1098,12124,18711,1,49,23,1,0,0,0,2,5,1,0,13,3,1,3,3,4,2,2,0,4,1,0.0435,471517,0,11,0
Research & Development,Medical,Manager,Travel_Rarely,Married,Company Website,77,723,12124,18711,1,52,23,1,0,0,0,4,5,2,0,13,3,3,3,3,4,2,2,0,8,1,0.0435,471517,0,13,1
Research & Development,Medical,Manager,Travel_Rarely,Married,Company Website,77,723,12124,18711,1,52,23,1,0,0,0,4,5,1,0,13,3,3,3,3,4,2,2,0,8,1,0.0435,471517,0,13,1
Research & Development,Medical,Manager,Travel_Rarely,Married,Company Website,85,1098,12124,18711,1,49,23,1,0,0,0,2,5,2,0,13,3,1,3,3,4,2,2,0,4,1,0.0435,471517,0,11,0
Research & Development,Medical,Manager,Travel_Rarely,Married,Company Website,77,723,12124,18711,1,52,23,1,0,0,0,4,5,2,0,13,3,3,3,3,4,2,2,0,8,1,0.0435,471517,0,13,1
Research & Development,Life Sciences,Manager,Travel_Rarely,Married,Company Website,85,1098,12124,18711,1,49,23,1,0,0,0,2,5,1,0,13,3,1,3,3,4,2,2,0,4,1,0.0435,471517,0,11,0
Research & Development,Medical,Manager,Travel_Rarely,Married,Company Website,77,723,12124,18711,1,52,23,1,0,0,0,4,5,1,0,13,4,3,3,3,4,2,2,0,8,1,0.0435,471517,0,13,1
Research & Development,Medical,Manager,Travel_Rarely,Married,Company Website,85,1098,12124,18711,1,49,23,1,0,0,0,2,5,2,0,13,3,1,3,3,4,2,2,0,4,1,0.0435,471517,0,11,0
Research & Development,Life Sciences,Manager,Travel_Rarely,Married,Company Website,85,1098,12124,18711,1,49,23,1,0,0,0,2,5,1,0,13,3,1,3,3,4,2,2,0,4,1,0.0435,471517,0,11,0
Research & Development,Medical,Manager,Travel_Rarely,Married,Company Website,77,723,12124,18711,1,52,23,1,0,0,0,4,5,2,0,13,3,3,3,3,4,2,2,0,8,1,0.0435,471517,0,13,1
Research & Development,Medical,Manager,Travel_Rarely,Married,Company Website,77,723,12124,18711,1,52,23,1,0,0,0,4,5,1,0,13,3,3,3,3,4,2,2,0,8,1,0.0435,471517,0,13,1
Research & Development,Technical Degree,Research Scientist,Travel_Frequently,Married,Company Website,46,469,9256,3692,0,36,12,11,10,0,7,3,1,1,0,12,3,3,2,3,2,3,2,0,3,1,0.9167,531648,1,10,0
Research & Development,Medical,Research Scientist,Travel_Rarely,Married,Company Website,77,1018,9256,3692,0,32,12,11,10,0,7,4,1,1,0,12,3,3,2,3,2,3,2,0,2,1,0.9167,531648,0,10,0
Research & Development,Life Sciences,Research Scientist,Travel_Rarely,Married,Company Website,77,1018,9256,3692,0,32,12,11,10,0,7,4,1,2,0,12,3,3,2,3,2,3,2,0,2,1,0.9167,531648,0,10,0
Research & Development,Life Sciences,Research Scientist,Travel_Frequently,Married,Company Website,46,469,9256,3692,0,36,12,11,10,0,7,3,1,2,0,12,3,3,2,3,2,3,2,0,3,1,0.9167,531648,0,10,0
Research & Development,Medical,Research Scientist,Travel_Rarely,Married,Company Website,77,1018,9256,3692,0,32,12,11,10,0,7,4,1,1,0,12,3,3,2,3,2,3,2,0,2,1,0.9167,531648,0,10,0
Research & Development,Life Sciences,Research Scientist,Travel_Rarely,Married,Company Website,77,1018,9256,3692,0,32,12,11,10,0,7,4,1,2,0,12,3,3,2,3,2,3,2,0,2,1,0.9167,531648,0,10,0
Research & Development,Technical Degree,Research Scientist,Travel_Frequently,Married,Company Website,46,469,9256,3692,0,36,12,11,10,0,7,3,1,1,0,12,3,3,2,3,2,3,2,0,3,1,0.9167,531648,1,10,0
Research & Development,Life Sciences,Research Scientist,Travel_Frequently,Married,Company Website,46,469,9256,3692,0,36,12,11,10,0,7,3,1,2,0,12,3,3,2,3,2,3,2,0,3,1,0.9167,531648,0,10,0
Research & Development,Technical Degree,Research Scientist,Travel_Frequently,Married,Company Website,46,469,9256,3692,0,36,12,11,10,0,7,3,1,1,0,12,3,3,2,3,2,3,2,0,3,1,0.9167,531648,1,10,0
Research & Development,Medical,Research Scientist,Travel_Rarely,Married,Company Website,77,1018,9256,3692,0,32,12,11,10,0,7,4,1,1,0,12,3,3,2,3,2,3,2,0,2,1,0.9167,531648,0,10,0
Research & Development,Life Sciences,Research Scientist,Travel_Rarely,Married,Company Website,77,1018,9256,3692,0,32,12,11,10,0,7,4,1,2,0,12,3,3,2,3,2,3,2,0,2,1,0.9167,531648,0,10,0
Research & Development,Life Sciences,Research Scientist,Travel_Frequently,Married,Company Website,46,469,9256,3692,0,36,12,11,10,0,7,3,1,2,0,12,3,3,2,3,2,3,2,0,3,1,0.9167,531648,0,10,0
Research & Development,Medical,Research Scientist,Travel_Rarely,Married,Company Website,77,1018,9256,3692,0,32,12,11,10,0,7,4,1,1,0,12,3,3,2,3,2,3,2,0,2,1,0.9167,531648,0,10,0
Research & Development,Life Sciences,Research Scientist,Travel_Rarely,Married,Company Website,77,1018,9256,3692,0,32,12,11,10,0,7,4,1,2,0,12,3,3,2,3,2,3,2,0,2,1,0.9167,531648,0,10,0
Research & Development,Technical Degree,Research Scientist,Travel_Frequently,Married,Company Website,46,469,9256,3692,0,36,12,11,10,0,7,3,1,1,0,12,3,3,2,3,2,3,2,0,3,1,0.9167,531648,1,10,0
Research & Development,Life Sciences,Research Scientist,Travel_Frequently,Married,Company Website,46,469,9256,3692,0,36,12,11,10,0,7,3,1,2,0,12,3,3,2,3,2,3,2,0,3,1,0.9167,531648,0,10,0
Research & Development,Technical Degree,Laboratory Technician,Travel_Rarely,Single,Company Website,76,969,16620,2559,0,48,7,1,0,0,0,2,1,5,0,11,3,4,2,3,2,4,4,0,2,1,0.1429,61416,0,11,0
Research & Development,Medical,Laboratory Technician,Travel_Rarely,Single,Company Website,77,1157,16620,2559,0,28,7,1,0,0,0,4,1,5,0,11,4,3,2,3,2,4,4,0,2,1,0.1429,61416,0,10,1
Research & Development,Life Sciences,Laboratory Technician,Travel_Rarely,Single,Company Website,76,969,16620,2559,0,48,7,1,0,0,0,2,1,1,0,11,3,4,2,3,2,4,4,0,2,1,0.1429,61416,0,11,0
Research & Development,Life Sciences,Laboratory Technician,Travel_Rarely,Single,Company Website,77,1157,16620,2559,0,28,7,1,0,0,0,4,1,1,0,11,4,3,2,3,2,4,4,0,2,1,0.1429,61416,0,10,1
Research & Development,Medical,Laboratory Technician,Travel_Rarely,Single,LinkedIn,77,1157,16620,2559,0,28,7,1,0,0,0,4,1,5,0,11,3,3,2,3,2,4,4,0,2,0,0.1429,61416,0,10,1
Research & Development,Life Sciences,Laboratory Technician,Travel_Rarely,Single,Adzuna,77,1157,16620,2559,0,28,7,1,0,0,0,4,1,1,0,11,3,3,2,3,2,4,4,0,2,0,0.1429,61416,0,10,1
Research & Development,Technical Degree,Laboratory Technician,Travel_Rarely,Single,Company Website,76,969,16620,2559,0,48,7,1,0,0,0,2,1,5,0,11,3,4,2,3,2,4,4,0,2,1,0.1429,61416,0,11,0
Research & Development,Life Sciences,Laboratory Technician,Travel_Rarely,Single,Company Website,76,969,16620,2559,0,48,7,1,0,0,0,2,1,1,0,11,3,4,2,3,2,4,4,0,2,1,0.1429,61416,0,11,0
Research & Development,Technical Degree,Laboratory Technician,Travel_Rarely,Single,Company Website,76,969,16620,2559,0,48,7,1,0,0,0,2,1,5,0,11,3,4,2,3,2,4,4,0,2,1,0.1429,61416,0,11,0
Research & Development,Medical,Laboratory Technician,Travel_Rarely,Single,Company Website,77,1157,16620,2559,0,28,7,1,0,0,0,4,1,5,0,11,4,3,2,3,2,4,4,0,2,1,0.1429,61416,0,10,1
Research & Development,Life Sciences,Laboratory Technician,Travel_Rarely,Single,Company Website,76,969,16620,2559,0,48,7,1,0,0,0,2,1,1,0,11,3,4,2,3,2,4,4,0,2,1,0.1429,61416,0,11,0
Research & Development,Life Sciences,Laboratory Technician,Travel_Rarely,Single,Company Website,77,1157,16620,2559,0,28,7,1,0,0,0,4,1,1,0,11,4,3,2,3,2,4,4,0,2,1,0.1429,61416,0,10,1
Research & Development,Medical,Laboratory Technician,Travel_Rarely,Single,LinkedIn,77,1157,16620,2559,0,28,7,1,0,0,0,4,1,5,0,11,3,3,2,3,2,4,4,0,2,0,0.1429,61416,0,10,1
Research & Development,Life Sciences,Laboratory Technician,Travel_Rarely,Single,Adzuna,77,1157,16620,2559,0,28,7,1,0,0,0,4,1,1,0,11,3,3,2,3,2,4,4,0,2,0,0.1429,61416,0,10,1
Research & Development,Technical Degree,Laboratory Technician,Travel_Rarely,Single,Company Website,76,969,16620,2559,0,48,7,1,0,0,0,2,1,5,0,11,3,4,2,3,2,4,4,0,2,1,0.1429,61416,0,11,0
Research & Development,Life Sciences,Laboratory Technician,Travel_Rarely,Single,Company Website,76,969,16620,2559,0,48,7,1,0,0,0,2,1,1,0,11,3,4,2,3,2,4,4,0,2,1,0.1429,61416,0,11,0
Research & Development,Life Sciences,Research Scientist,Travel_Rarely,Divorced,GlassDoor,76,1167,3208,2517,3,27,5,5,3,0,3,2,1,1,0,11,3,1,3,2,3,3,2,0,4,0,1,208408,0,9,0
Research & Development,Medical,Research Scientist,Travel_Rarely,Divorced,GlassDoor,77,1275,3208,2517,3,30,5,5,3,0,3,2,1,1,0,11,3,3,3,2,3,3,2,0,28,0,1,208408,0,11,0
Research & Development,Life Sciences,Research Scientist,Travel_Rarely,Divorced,GlassDoor,76,1167,3208,2517,3,27,5,5,3,0,3,2,1,3,0,11,4,1,3,2,3,3,2,0,4,0,1,208408,0,9,0
Research & Development,Technical Degree,Research Scientist,Travel_Rarely,Divorced,GlassDoor,77,1275,3208,2517,3,30,5,5,3,0,3,2,1,4,0,11,3,3,3,2,3,3,2,0,28,0,1,208408,1,11,0
Research & Development,Life Sciences,Research Scientist,Travel_Rarely,Divorced,Indeed,76,1167,3208,2517,3,27,5,5,3,0,3,2,1,1,0,11,3,1,3,2,3,3,2,0,4,0,1,208408,0,9,0
Research & Development,Life Sciences,Research Scientist,Travel_Rarely,Divorced,GlassDoor,76,1167,3208,2517,3,27,5,5,3,0,3,2,1,3,0,11,3,1,3,2,3,3,2,0,4,0,1,208408,0,9,0
Research & Development,Medical,Research Scientist,Travel_Rarely,Divorced,GlassDoor,77,1275,3208,2517,3,30,5,5,3,0,3,2,1,1,0,11,3,3,3,2,3,3,2,0,28,0,1,208408,0,11,0
Research & Development,Technical Degree,Research Scientist,Travel_Rarely,Divorced,Company Website,77,1275,3208,2517,3,30,5,5,3,0,3,2,1,4,0,11,3,3,3,2,3,3,2,0,28,1,1,208408,1,11,0
Research & Development,Life Sciences,Research Scientist,Travel_Rarely,Divorced,GlassDoor,76,1167,3208,2517,3,27,5,5,3,0,3,2,1,1,0,11,3,1,3,2,3,3,2,0,4,0,1,208408,0,9,0
Research & Development,Medical,Research Scientist,Travel_Rarely,Divorced,GlassDoor,77,1275,3208,2517,3,30,5,5,3,0,3,2,1,1,0,11,3,3,3,2,3,3,2,0,28,0,1,208408,0,11,0
Research & Development,Life Sciences,Research Scientist,Travel_Rarely,Divorced,GlassDoor,76,1167,3208,2517,3,27,5,5,3,0,3,2,1,3,0,11,4,1,3,2,3,3,2,0,4,0,1,208408,0,9,0
Research & Development,Technical Degree,Research Scientist,Travel_Rarely,Divorced,GlassDoor,77,1275,3208,2517,3,30,5,5,3,0,3,2,1,4,0,11,3,3,3,2,3,3,2,0,28,0,1,208408,1,11,0
Research & Development,Life Sciences,Research Scientist,Travel_Rarely,Divorced,Indeed,76,1167,3208,2517,3,27,5,5,3,0,3,2,1,1,0,11,3,1,3,2,3,3,2,0,4,0,1,208408,0,9,0
Research & Development,Life Sciences,Research Scientist,Travel_Rarely,Divorced,GlassDoor,76,1167,3208,2517,3,27,5,5,3,0,3,2,1,3,0,11,3,1,3,2,3,3,2,0,4,0,1,208408,0,9,0
Research & Development,Medical,Research Scientist,Travel_Rarely,Divorced,GlassDoor,77,1275,3208,2517,3,30,5,5,3,0,3,2,1,1,0,11,3,3,3,2,3,3,2,0,28,0,1,208408,0,11,0
Research & Development,Technical Degree,Research Scientist,Travel_Rarely,Divorced,Company Website,77,1275,3208,2517,3,30,5,5,3,0,3,2,1,4,0,11,3,3,3,2,3,3,2,0,28,1,1,208408,1,11,0
Research & Development,Life Sciences,Healthcare Representative,Travel_Rarely,Divorced,Company Website,82,1329,4204,6623,2,29,6,6,0,1,0,3,2,1,1,11,3,3,4,2,3,3,2,0,7,1,1,611965,0,12,0
Research & Development,Medical,Healthcare Representative,Travel_Frequently,Divorced,Company Website,77,672,4204,6623,2,39,6,6,0,1,0,2,2,1,1,11,3,3,4,2,3,3,2,0,7,1,1,611965,0,12,0
Research & Development,Marketing,Healthcare Representative,Travel_Rarely,Divorced,Company Website,82,1329,4204,6623,2,29,6,6,0,1,0,3,2,0,1,11,4,3,4,2,3,3,2,0,7,1,1,611965,1,12,0
Research & Development,Marketing,Healthcare Representative,Travel_Frequently,Divorced,Company Website,77,672,4204,6623,2,39,6,6,0,1,0,2,2,0,1,11,3,3,4,2,3,3,2,0,7,1,1,611965,1,12,0
Research & Development,Life Sciences,Healthcare Representative,Travel_Rarely,Divorced,Company Website,82,1329,4204,6623,2,29,6,6,0,1,0,3,2,1,1,11,3,3,4,2,3,3,2,0,7,1,1,611965,0,12,0
Research & Development,Marketing,Healthcare Representative,Travel_Rarely,Divorced,Company Website,82,1329,4204,6623,2,29,6,6,0,1,0,3,2,0,1,11,3,3,4,2,3,3,2,0,7,1,1,611965,1,12,0
Research & Development,Medical,Healthcare Representative,Travel_Frequently,Divorced,Company Website,77,672,4204,6623,2,39,6,6,0,1,0,2,2,1,1,11,3,3,4,2,3,3,2,0,7,1,1,611965,0,12,0
Research & Development,Marketing,Healthcare Representative,Travel_Frequently,Divorced,Company Website,77,672,4204,6623,2,39,6,6,0,1,0,2,2,0,1,11,3,3,4,2,3,3,2,0,7,1,1,611965,1,12,0
Research & Development,Life Sciences,Healthcare Representative,Travel_Rarely,Divorced,Company Website,82,1329,4204,6623,2,29,6,6,0,1,0,3,2,1,1,11,3,3,4,2,3,3,2,0,7,1,1,611965,0,12,0
Research & Development,Medical,Healthcare Representative,Travel_Frequently,Divorced,Company Website,77,672,4204,6623,2,39,6,6,0,1,0,2,2,1,1,11,3,3,4,2,3,3,2,0,7,1,1,611965,0,12,0
Research & Development,Marketing,Healthcare Representative,Travel_Rarely,Divorced,Company Website,82,1329,4204,6623,2,29,6,6,0,1,0,3,2,0,1,11,4,3,4,2,3,3,2,0,7,1,1,611965,1,12,0
Research & Development,Marketing,Healthcare Representative,Travel_Frequently,Divorced,Company Website,77,672,4204,6623,2,39,6,6,0,1,0,2,2,0,1,11,3,3,4,2,3,3,2,0,7,1,1,611965,1,12,0
Research & Development,Life Sciences,Healthcare Representative,Travel_Rarely,Divorced,Company Website,82,1329,4204,6623,2,29,6,6,0,1,0,3,2,1,1,11,3,3,4,2,3,3,2,0,7,1,1,611965,0,12,0
Research & Development,Marketing,Healthcare Representative,Travel_Rarely,Divorced,Company Website,82,1329,4204,6623,2,29,6,6,0,1,0,3,2,0,1,11,3,3,4,2,3,3,2,0,7,1,1,611965,1,12,0
Research & Development,Medical,Healthcare Representative,Travel_Frequently,Divorced,Company Website,77,672,4204,6623,2,39,6,6,0,1,0,2,2,1,1,11,3,3,4,2,3,3,2,0,7,1,1,611965,0,12,0
Research & Development,Marketing,Healthcare Representative,Travel_Frequently,Divorced,Company Website,77,672,4204,6623,2,39,6,6,0,1,0,2,2,0,1,11,3,3,4,2,3,3,2,0,7,1,1,611965,1,12,0
Research & Development,Life Sciences,Research Director,Travel_Rarely,Single,Indeed,76,715,8733,18265,0,48,25,1,0,0,0,3,5,6,0,12,3,4,4,3,4,2,3,0,1,0,0.04,438360,1,15,0
Sales,Medical,Research Director,Travel_Rarely,Single,Indeed,77,1162,8733,18265,0,39,25,1,0,0,0,2,5,6,0,12,3,3,4,3,4,2,3,0,3,0,0.04,438360,0,14,1
Research & Development,Life Sciences,Research Director,Travel_Rarely,Single,Indeed,76,715,8733,18265,0,48,25,1,0,0,0,3,5,1,0,12,3,4,4,3,4,2,3,0,1,0,0.04,438360,1,15,0
Sales,Life Sciences,Research Director,Travel_Rarely,Single,Indeed,77,1162,8733,18265,0,39,25,1,0,0,0,2,5,2,0,12,3,3,4,3,4,2,3,0,3,0,0.04,438360,1,14,1
Sales,Medical,Research Director,Travel_Rarely,Single,Indeed,77,1162,8733,18265,0,39,25,1,0,0,0,2,5,6,0,12,3,3,4,3,4,2,3,0,3,0,0.04,438360,0,14,1
Sales,Life Sciences,Research Director,Travel_Rarely,Single,Indeed,77,1162,8733,18265,0,39,25,1,0,0,0,2,5,2,0,12,3,3,4,3,4,2,3,0,3,0,0.04,438360,1,14,1
Research & Development,Life Sciences,Research Director,Travel_Rarely,Single,Indeed,76,715,8733,18265,0,48,25,1,0,0,0,3,5,6,0,12,3,4,4,3,4,2,3,0,1,0,0.04,438360,1,15,0
Research & Development,Life Sciences,Research Director,Travel_Rarely,Single,Indeed,76,715,8733,18265,0,48,25,1,0,0,0,3,5,1,0,12,3,4,4,3,4,2,3,0,1,0,0.04,438360,1,15,0
Research & Development,Life Sciences,Research Director,Travel_Rarely,Single,Indeed,76,715,8733,18265,0,48,25,1,0,0,0,3,5,6,0,12,3,4,4,3,4,2,3,0,1,0,0.04,438360,1,15,0
Sales,Medical,Research Director,Travel_Rarely,Single,Indeed,77,1162,8733,18265,0,39,25,1,0,0,0,2,5,6,0,12,3,3,4,3,4,2,3,0,3,0,0.04,438360,0,14,1
